District ID,District Name,School ID,School Name,Principal,Grades,School Type,County,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Required Immunizations,Teachers,Educational Assistants,Counselors,Average Teacher Turnover Rate,New Principal in the Last 3 Years,Class Size,Class Size Change from Last Year,Class Size Change Value,Oregon Class Size Average,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Individual Student Progress,English Language Arts,ELA Change from Last Year,ELA Change Value,Oregon ELA Average,Mathematics,Mathematics Change from Last Year,Mathematics Change Value,Oregon Mathematics Average,Science,Science Change from Last Year,Science Change Value,Oregon Science Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation Average,Five-Year Completion,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion Average
2221,Enterprise SD 21,1091,Enterprise High School,Blake Carlsen,Grade(s) 7-12,H,Wallowa,202,*,1,14%,31%,91%,13,5,0,11%,No,14,Decrease,7,25,72%,Increase,5%,80%,,,,,,,,,,,,,,93%,Decrease,>2%,85%,89%,Decrease,4%,77%,93%,Increase,5%,83%
1930,Estacada SD 108,131,Clackamas River Elementary School,Amy Hudson,Grade(s) K-5,E,Clackamas,411,<5%,3,13%,45%,95%,22,6,1,24%,Yes,24,Decrease,1,25,83%,Increase,2%,80%,High,52%,Increase,7%,51%,36%,Decrease,2%,44%,68%,Decrease,8%,65%,,,,,,,,,,,,
1930,Estacada SD 108,135,Estacada High School,Bill Blevins,Grade(s) 9-12,H,Clackamas,484,11%,11,15%,38%,96%,23,7,1,16%,Yes,22,Decrease,2,25,82%,Increase,2%,80%,,,,,,,,,,,,,,66%,Increase,3%,85%,76%,Increase,6%,77%,82%,No Change,,83%
1930,Estacada SD 108,134,Estacada Middle School,Benjamin Hargrave,Grade(s) 6-8,M,Clackamas,372,13%,7,18%,45%,91%,19,8,1,28%,Yes,26,No Change,,25,77%,Increase,1%,80%,Average,39%,Decrease,1%,56%,23%,Decrease,4%,41%,39%,No Change,,61%,,,,,,,,,,,,
1930,Estacada SD 108,132,River Mill Elementary School,Jennifer Behrman,Grade(s) K-5,E,Clackamas,372,19%,6,13%,54%,95%,22,6,1,25%,No,23,Decrease,2,25,74%,Decrease,2%,80%,High,42%,Increase,7%,51%,37%,Increase,10%,44%,58%,Decrease,2%,65%,,,,,,,,,,,,
1930,Estacada SD 108,4760,Summit Community College High School,Jonica Tabler,Grade(s) 9-12,H,Clackamas,232,16%,4,9%,<5%,*,0,0,0,-1,No,*,No Change,,,>95%,No Change,,80%,,,,,,,,,,,,,,*,No Change,,85%,20%,Decrease,1%,77%,55%,Increase,3%,83%
1930,Estacada SD 108,4670,Summit Learning Charter,Sean Gallagher,Grade(s) K-12,H,Clackamas,982,7%,11,5%,18%,67%,16,0,1,10%,No,8,Increase,2,25,>95%,No Change,,80%,,,,,,,,,,,,,,>95%,No Change,,85%,83%,Increase,12%,77%,84%,Increase,23%,83%
2082,Eugene SD 4J,503,Adams Elementary School,Kevin Gordon,Grade(s) K-5,E,Lane,481,<5%,10,16%,41%,86%,22,16,1,18%,No,27,No Change,,25,87%,Increase,2%,80%,Average,62%,Decrease,3%,51%,57%,Decrease,2%,44%,87%,Decrease,3%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,4554,Arts and Technology Academy at Jefferson,Larry Williams,Grade(s) 6-8,M,Lane,405,9%,8,15%,>95%,90%,20,4,1,21%,Yes,29,Increase,1,25,79%,Increase,2%,80%,High,56%,Increase,1%,56%,33%,Decrease,7%,41%,69%,Decrease,3%,61%,,,,,,,,,,,,
2082,Eugene SD 4J,504,Awbrey Park Elementary School,Mike Riplinger,Grade(s) K-5,E,Lane,416,*,5,16%,56%,96%,20,9,1,14%,No,23,Decrease,4,25,81%,Decrease,1%,80%,Average,60%,Increase,10%,51%,42%,Increase,1%,44%,68%,Increase,8%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,1241,Buena Vista Elementary School,Melissa Ibarra,Grade(s) K-5,E,Lane,443,12%,5,<5%,33%,96%,19,4,1,23%,Yes,25,No Change,,25,90%,Decrease,1%,80%,High,59%,Increase,1%,51%,55%,Increase,4%,44%,82%,Decrease,6%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,506,Cal Young Middle School,Jericho Dunn,Grade(s) 6-8,M,Lane,534,5%,16,11%,34%,96%,21,6,1,25%,Yes,31,Decrease,2,25,85%,Decrease,1%,80%,High,63%,No Change,,56%,56%,Increase,3%,41%,65%,Decrease,9%,61%,,,,,,,,,,,,
2082,Eugene SD 4J,4739,Camas Ridge Community Elementary,Wes Flinn,Grade(s) K-5,E,Lane,384,<5%,8,13%,49%,85%,18,7,1,13%,Yes,27,Increase,1,25,84%,Increase,3%,80%,High,64%,Increase,2%,51%,54%,Increase,3%,44%,83%,Increase,5%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,4146,Cesar Chavez Elementary School,Denisa Speicher-Taylor,Grade(s) K-5,E,Lane,438,18%,8,21%,>95%,88%,24,19,0,17%,No,23.5,Decrease,1,25,71%,Increase,1%,80%,Low,48%,Increase,1%,51%,28%,Decrease,3%,44%,67%,Increase,1%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,1240,Charlemagne French Immersion Elementary School,Eric Anderson,Grade(s) K-5,E,Lane,338,*,14,7%,19%,91%,13,4,1,5%,No,28.5,No Change,,25,94%,Increase,4%,80%,High,83%,Decrease,4%,51%,78%,Decrease,1%,44%,>95%,No Change,,65%,,,,,,,,,,,,
2082,Eugene SD 4J,5408,Chinese Language Immersion School,Jennifer Hebard,Grade(s) K-5,E,Lane,42,*,3,*,26%,78%,2,1,0,-1,No,21,New School,,25,76%,New School,,80%,*,*,New School,,51%,*,New School,,44%,*,New School,,65%,,,,,,,,,,,,
2082,Eugene SD 4J,540,Churchill High School,Greg Borgerding,Grade(s) 9-12,H,Lane,1056,7%,14,14%,50%,93%,50,11,4,15%,Yes,26,Increase,1,25,70%,Increase,3%,80%,,,,,,,,,,,,,,88%,Increase,1%,85%,86%,Increase,5%,77%,90%,Decrease,2%,83%
2082,Eugene SD 4J,507,Coburg Community Charter School,Will Lewis,Grade(s) K-8,E,Lane,213,*,5,8%,11%,96%,11,3,1,0%,Yes,25,No Change,,25,92%,Decrease,2%,80%,High,78%,Increase,8%,54%,78%,Increase,9%,42%,95%,Increase,4%,64%,,,,,,,,,,,,
2082,Eugene SD 4J,1242,Corridor Elementary School,Tom Piowaty,Grade(s) K-5,E,Lane,207,*,3,16%,50%,90%,11,6,1,12%,No,26,Increase,1,25,82%,Decrease,2%,80%,High,49%,Increase,6%,51%,45%,Increase,7%,44%,74%,Decrease,6%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,1774,Edgewood Community Elementary School,Jim Moore,Grade(s) K-5,E,Lane,396,*,10,15%,33%,90%,18,7,1,18%,Yes,26,Decrease,2,25,89%,Decrease,1%,80%,Average,61%,Increase,2%,51%,50%,No Change,,44%,80%,Decrease,1%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,510,Edison Elementary School,Scott Marsh,Grade(s) K-5,E,Lane,356,6%,17,12%,39%,89%,17,11,0,25%,Yes,25,Decrease,2,25,85%,Decrease,1%,80%,Average,77%,Increase,3%,51%,70%,Increase,2%,44%,84%,Increase,2%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,537,Eugene Education Options,Molly Gillett,Grade(s) 9-12,H,Lane,216,5%,4,21%,61%,93%,12,5,1,18%,Yes,13,Decrease,4,25,7%,Decrease,1%,80%,,,,,,,,,,,,,,*,No Change,,85%,19%,Decrease,9%,77%,64%,Increase,16%,83%
2082,Eugene SD 4J,1339,Family School,Jennifer Hebard,Grade(s) K-5,E,Lane,142,*,3,20%,56%,62%,8,2,1,11%,Yes,24,Increase,1,25,80%,Increase,10%,80%,High,62%,Increase,7%,51%,52%,Increase,12%,44%,85%,Increase,27%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,513,Gilham Elementary School,Gina Wilde,Grade(s) K-5,E,Lane,560,5%,13,17%,42%,94%,25,16,1,21%,No,25,Decrease,1,25,85%,Decrease,2%,80%,High,64%,Decrease,1%,51%,45%,Decrease,3%,44%,85%,Increase,2%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,4157,Holt Elementary School,Joyce Smith-Johnson,Grade(s) K-5,E,Lane,569,5%,7,18%,59%,96%,27,11,1,22%,No,26,No Change,,25,79%,Increase,1%,80%,Average,51%,Increase,4%,51%,45%,Increase,7%,44%,62%,Decrease,13%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,515,Howard Elementary School,Allan Chinn,Grade(s) K-5,E,Lane,508,8%,5,21%,>95%,96%,27,23,1,21%,No,28,Increase,2,25,80%,Increase,5%,80%,Low,43%,Increase,5%,51%,29%,Decrease,2%,44%,61%,Increase,6%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,518,Kelly Middle School,Juan Cuadros,Grade(s) 6-8,M,Lane,376,12%,6,11%,71%,95%,20,7,1,9%,Yes,25,No Change,,25,78%,Decrease,5%,80%,Low,43%,Increase,4%,56%,31%,Decrease,4%,41%,64%,Increase,16%,61%,,,,,,,,,,,,
2082,Eugene SD 4J,519,Kennedy Middle School,Morgan Christensen,Grade(s) 6-8,M,Lane,352,9%,9,18%,60%,97%,16,5,1,16%,Yes,29,Increase,2,25,81%,No Change,,80%,Average,59%,No Change,,56%,42%,Decrease,6%,41%,65%,Decrease,3%,61%,,,,,,,,,,,,
2082,Eugene SD 4J,520,Madison Middle School,Peter Barsotti,Grade(s) 6-8,M,Lane,435,<5%,5,16%,51%,97%,18,6,1,17%,Yes,30.5,No Change,,25,80%,Increase,3%,80%,Average,53%,Increase,4%,56%,41%,Increase,4%,41%,65%,Decrease,4%,61%,,,,,,,,,,,,
2082,Eugene SD 4J,522,McCornack Elementary School,Londa Rochholz,Grade(s) K-5,E,Lane,338,15%,11,14%,>95%,95%,18,9,1,21%,No,24,Decrease,5,25,82%,Increase,3%,80%,High,50%,Increase,7%,51%,44%,Increase,13%,44%,80%,Increase,29%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,524,Monroe Middle School,Mike Johnson,Grade(s) 6-8,M,Lane,537,6%,9,12%,47%,96%,23,12,1,14%,No,28,Decrease,5,25,81%,Decrease,3%,80%,Average,64%,Increase,1%,56%,46%,Decrease,2%,41%,74%,Decrease,1%,61%,,,,,,,,,,,,
2082,Eugene SD 4J,4041,Network Charter School,Stephanie Ford,Grade(s) 7-12,H,Lane,113,*,1,25%,>95%,87%,9,0,1,7%,Yes,12,Decrease,2,25,35%,Decrease,4%,80%,,,,,,,,,,,,,,24%,Increase,>19%,85%,31%,Increase,11%,77%,58%,Decrease,5%,83%
2082,Eugene SD 4J,536,North Eugene High School,Iton-Etok Udosenata,Grade(s) 9-12,H,Lane,858,7%,13,16%,56%,97%,43,10,3,12%,Yes,23,No Change,,25,67%,Decrease,1%,80%,,,,,,,,,,,,,,82%,Decrease,9%,85%,71%,Decrease,7%,77%,84%,Increase,1%,83%
2082,Eugene SD 4J,3233,Ridgeline Montessori,Sharon Martin,Grade(s) K-8,E,Lane,246,*,5,13%,39%,71%,10,9,1,9%,No,28,No Change,,25,85%,Decrease,1%,80%,High,84%,No Change,,54%,59%,Decrease,4%,42%,94%,No Change,,64%,,,,,,,,,,,,
2082,Eugene SD 4J,525,River Road/El Camino del Rio Elementary School,Joel Lavin,Grade(s) K-5,E,Lane,356,30%,7,10%,>95%,90%,18,7,1,13%,No,26,Increase,1,25,85%,Increase,1%,80%,Average,38%,Increase,3%,51%,22%,Increase,2%,44%,60%,Decrease,16%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,526,Roosevelt Middle School,Chris Mitchell,Grade(s) 6-8,M,Lane,578,<5%,15,7%,28%,90%,23,4,1,13%,No,32,Decrease,1,25,85%,Decrease,1%,80%,Average,75%,Increase,4%,56%,67%,Increase,5%,41%,69%,Decrease,3%,61%,,,,,,,,,,,,
2082,Eugene SD 4J,538,Sheldon High School,Bob Bolden,Grade(s) 9-12,H,Lane,1415,<5%,19,11%,29%,98%,64,23,3,13%,Yes,27,Decrease,1,25,76%,No Change,,80%,,,,,,,,,,,,,,91%,Decrease,1%,85%,88%,No Change,,77%,94%,Increase,2%,83%
2082,Eugene SD 4J,539,South Eugene High School,Andy Dey,Grade(s) 9-12,H,Lane,1410,<5%,19,8%,25%,88%,58,11,3,12%,No,28,Decrease,1,25,75%,No Change,,80%,,,,,,,,,,,,,,>95%,Increase,>2%,85%,90%,Increase,1%,77%,92%,Decrease,4%,83%
2082,Eugene SD 4J,528,Spencer Butte Middle School,Tasha Katsuda,Grade(s) 6-8,M,Lane,436,<5%,13,17%,32%,88%,18,8,1,10%,Yes,27,Decrease,4,25,82%,Decrease,4%,80%,High,74%,Decrease,1%,56%,72%,Decrease,1%,41%,80%,Increase,4%,61%,,,,,,,,,,,,
2082,Eugene SD 4J,529,Spring Creek Elementary School,Raquel Gwynn,Grade(s) K-5,E,Lane,288,5%,2,22%,57%,92%,17,17,1,16%,No,25,No Change,,25,79%,Decrease,2%,80%,Average,41%,Decrease,2%,51%,37%,Decrease,3%,44%,77%,Increase,14%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,530,Twin Oaks Elementary School,Lizette Rodgers,Grade(s) K-5,E,Lane,238,*,6,12%,43%,96%,11,4,1,20%,Yes,28,Increase,1,25,91%,Increase,1%,80%,Low,54%,Decrease,3%,51%,34%,Decrease,2%,44%,66%,Decrease,2%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,1861,Twin Rivers Charter School,Jay Breslow,Grade(s) 8-12,H,Lane,33,*,1,36%,*,96%,4,2,0,70%,No,13,Decrease,2,25,56%,Decrease,3%,80%,,,,,,,,,,,,,,*,No Change,,85%,0%,No Change,,77%,*,No Change,,83%
2082,Eugene SD 4J,3229,Village School,Carla La Fleur,Grade(s) K-8,E,Lane,222,*,4,10%,53%,30%,8,5,1,7%,Yes,26,Increase,2,25,79%,Increase,7%,80%,High,65%,Increase,9%,54%,67%,Increase,9%,42%,80%,Decrease,5%,64%,,,,,,,,,,,,
2082,Eugene SD 4J,534,Willagillespie Elementary School,David Jacobson,Grade(s) K-5,E,Lane,521,6%,9,18%,50%,95%,27,15,1,13%,No,24,Decrease,4,25,84%,Decrease,2%,80%,High,57%,Decrease,3%,51%,63%,Increase,3%,44%,76%,Decrease,8%,65%,,,,,,,,,,,,
2082,Eugene SD 4J,1259,Yujin Gakuen Elementary School,Tom Piowaty,Grade(s) K-5,E,Lane,313,10%,8,<5%,35%,95%,13,4,1,14%,No,27,Decrease,2,25,88%,No Change,,80%,High,66%,Increase,4%,51%,66%,Increase,10%,44%,85%,No Change,,65%,,,,,,,,,,,,
2193,Falls City SD 57,1005,Falls City Elementary School,Art Houghtaling,Grade(s) K-8,E,Polk,137,*,1,20%,>95%,85%,10,5,0,42%,Yes,15.5,Decrease,3,25,69%,Increase,3%,80%,Low,24%,No Change,,54%,16%,Increase,3%,42%,57%,Increase,22%,64%,,,,,,,,,,,,
2193,Falls City SD 57,1006,Falls City High School,Art Houghtaling,Grade(s) 9-12,H,Polk,77,*,2,23%,>95%,91%,7,1,0,13%,Yes,12.5,Decrease,1,25,54%,Decrease,19%,80%,,,,,,,,,,,,,,67%,Decrease,>28%,85%,75%,Decrease,7%,77%,94%,Increase,11%,83%
2084,Fern Ridge SD 28J,563,Elmira Elementary School,Michelle Marshall,Grade(s) K-5,E,Lane,275,*,1,17%,57%,94%,14,13,0,13%,Yes,25,No Change,,25,86%,Decrease,1%,80%,Average,55%,Increase,9%,51%,43%,Increase,7%,44%,68%,Increase,6%,65%,,,,,,,,,,,,
2084,Fern Ridge SD 28J,567,Elmira High School,Richard Gardner,Grade(s) 9-12,H,Lane,368,*,1,14%,41%,96%,21,5,1,8%,No,19,Decrease,2,25,82%,Increase,1%,80%,,,,,,,,,,,,,,86%,Increase,7%,85%,89%,Increase,11%,77%,88%,Decrease,5%,83%
2084,Fern Ridge SD 28J,564,Fern Ridge Middle School,Olivia Johnson,Grade(s) 6-8,M,Lane,336,*,1,16%,57%,94%,14,7,1,19%,Yes,27,Increase,1,25,81%,Decrease,2%,80%,Average,45%,Increase,2%,56%,25%,Increase,1%,41%,49%,Increase,11%,61%,,,,,,,,,,,,
2084,Fern Ridge SD 28J,566,Veneta Elementary School,Lisa Leatham,Grade(s) K-5,E,Lane,360,*,1,16%,56%,96%,17,11,0,12%,Yes,24,No Change,,25,80%,Decrease,4%,80%,Average,49%,Increase,2%,51%,40%,Decrease,3%,44%,66%,Increase,4%,65%,,,,,,,,,,,,
2084,Fern Ridge SD 28J,4045,West Lane Technology Learning Center,Ron Osibov,Grade(s) 9-12,H,Lane,86,*,1,23%,56%,97%,5,0,0,23%,No,14.5,Decrease,2,25,49%,Increase,3%,80%,,,,,,,,,,,,,,*,No Change,,85%,2%,Decrease,9%,77%,27%,Decrease,8%,83%
2241,Forest Grove SD 15,1128,Cornelius Elementary School,Angella Graves,Grade(s) K-4,E,Washington,288,73%,2,13%,>95%,98%,19,13,1,23%,No,28,No Change,,25,90%,Decrease,>5%,80%,Average,28%,Increase,8%,49%,28%,Increase,5%,46%,*,No Change,,,,,,,,,,,,,,
2241,Forest Grove SD 15,1129,Dilley Elementary School,Mariela Mireles,Grade(s) K-4,E,Washington,255,*,5,18%,26%,95%,13,6,1,15%,No,24,Decrease,2,25,85%,Decrease,>10%,80%,High,63%,Increase,2%,49%,66%,Increase,2%,46%,*,No Change,,,,,,,,,,,,,,
2241,Forest Grove SD 15,1130,Echo Shaw Elementary School,Perla Rodriguez,Grade(s) K-6,E,Washington,425,60%,3,15%,83%,99%,24,13,1,20%,No,25,Decrease,2,25,89%,Decrease,3%,80%,High,45%,Increase,5%,52%,40%,No Change,,43%,46%,Increase,10%,65%,,,,,,,,,,,,
2241,Forest Grove SD 15,3986,Fern Hill Elementary School,Rogelio Martinez,Grade(s) K-4,E,Washington,376,46%,6,14%,>95%,97%,20,12,1,17%,No,24,Decrease,1,25,86%,Increase,5%,80%,High,31%,Increase,13%,49%,29%,Increase,16%,46%,*,No Change,,,,,,,,,,,,,,
2241,Forest Grove SD 15,4595,Forest Grove Community School,Vanessa Gray,Grade(s) 1-8,E,Washington,200,*,5,19%,15%,89%,12,4,0,12%,No,26,Decrease,1,25,89%,No Change,,80%,High,64%,No Change,,54%,63%,Increase,1%,42%,89%,Increase,11%,64%,,,,,,,,,,,,
2241,Forest Grove SD 15,1134,Forest Grove High School,Karen ONeill,Grade(s) 9-12,H,Washington,1826,39%,16,13%,50%,97%,89,31,6,11%,No,25,Decrease,4,25,69%,Decrease,3%,80%,,,,,,,,,,,,,,76%,Increase,1%,85%,80%,Increase,2%,77%,87%,Increase,4%,83%
2241,Forest Grove SD 15,1132,Harvey Clarke Elementary School,Pete Moshinsky,Grade(s) K-4,E,Washington,505,9%,6,18%,39%,93%,24,16,2,17%,No,25,No Change,,25,86%,Increase,3%,80%,High,60%,Decrease,2%,49%,62%,Decrease,6%,46%,*,No Change,,,,,,,,,,,,,,
2241,Forest Grove SD 15,1133,Joseph Gale Elementary School,Melissa Carter,Grade(s) K-4,E,Washington,495,25%,2,16%,66%,95%,25,26,1,22%,No,28,Increase,1,25,88%,Decrease,2%,80%,Average,35%,Decrease,2%,49%,27%,Decrease,12%,46%,*,No Change,,,,,,,,,,,,,,
2241,Forest Grove SD 15,1126,Neil Armstrong Middle School,Osvaldo Garcia-Contreras,Grade(s) 7-8,M,Washington,842,44%,10,14%,58%,98%,38,14,2,7%,Yes,31,No Change,,25,80%,Decrease,5%,80%,Low,52%,Increase,4%,57%,30%,Increase,1%,42%,39%,Decrease,2%,61%,,,,,,,,,,,,
2241,Forest Grove SD 15,1127,Tom McCall Upper Elementary,Seth Rogers,Grade(s) 5-6,E,Washington,776,34%,6,19%,54%,98%,35,24,2,16%,No,33,Increase,2,25,86%,Increase,2%,80%,High,48%,Increase,2%,55%,36%,Decrease,2%,40%,42%,Increase,4%,65%,,,,,,,,,,,,
2248,Fossil SD 21J,1205,Fossil Charter School,Brad Sperry,Grade(s) K-12,H,Wheeler,597,*,2,6%,23%,95%,21,1,0,19%,No,3,Decrease,1,25,93%,Decrease,>2%,80%,,,,,,,,,,,,,,*,No Change,,85%,83%,Decrease,6%,77%,90%,Increase,23%,83%
2020,Frenchglen SD 16,351,Frenchglen Elementary School,Carolyn Koskela,Grade(s) K-8,E,Harney,3,*,1,*,*,*,1,0,0,0%,Yes,4,Decrease,1,25,*,No Change,,80%,*,*,No Change,,54%,*,No Change,,42%,*,No Change,,64%,,,,,,,,,,,,
2020,Frenchglen SD 16,4702,Silvies River Charter School,Eric Nichols,Grade(s) K-12,H,Harney,256,*,1,8%,12%,64%,10,0,0,29%,Yes,4,Decrease,278,25,>95%,Increase,>3%,80%,,,,,,,,,,,,,,73%,Decrease,>22%,85%,59%,Increase,24%,77%,59%,Increase,39%,83%
2245,Gaston SD 511J,1194,Gaston Elementary School,Susan McKenzie,Grade(s) K-6,E,Washington,263,5%,3,22%,50%,93%,15,5,0,19%,No,23,Increase,1,25,86%,Increase,7%,80%,High,53%,Increase,1%,52%,48%,Increase,4%,43%,76%,Decrease,6%,65%,,,,,,,,,,,,
2245,Gaston SD 511J,1195,Gaston Jr/Sr High School,Summer Catino,Grade(s) 7-12,H,Washington,282,*,3,15%,44%,91%,18,4,1,22%,Yes,19,No Change,,25,76%,Increase,2%,80%,,,,,,,,,,,,,,>95%,Increase,>11%,85%,85%,Decrease,1%,77%,89%,Increase,10%,83%
2137,Gervais SD 1,5392,Frontier Charter Academy,Beau Neal,Grade(s) 5-9,H,Marion,140,*,2,15%,39%,*,6,0,0,-1,No,27,New School,,25,>95%,New School,,80%,,,,,,,,,,,,,,52%,New School,,85%,*,No Change,,,*,No Change,,
2137,Gervais SD 1,776,Gervais Elementary School,Creighton Helms,Grade(s) K-5,E,Marion,430,50%,4,14%,>95%,97%,21,8,1,11%,Yes,24,Decrease,1,25,80%,Increase,3%,80%,High,34%,No Change,,51%,41%,Increase,5%,44%,40%,Increase,9%,65%,,,,,,,,,,,,
2137,Gervais SD 1,808,Gervais High School,Ken Stott,Grade(s) 9-12,H,Marion,279,55%,7,16%,>95%,93%,18,3,1,26%,Yes,17,Decrease,2,25,79%,Increase,7%,80%,,,,,,,,,,,,,,91%,Increase,16%,85%,92%,Decrease,7%,77%,99%,No Change,,83%
2137,Gervais SD 1,786,Gervais Middle School,Ann O'Connell,Grade(s) 6-8,M,Marion,245,54%,4,13%,>95%,95%,12,2,1,15%,No,24,Increase,3,25,87%,Increase,1%,80%,High,42%,Increase,4%,56%,48%,Increase,9%,41%,48%,Increase,9%,61%,,,,,,,,,,,,
2137,Gervais SD 1,4024,Samuel Brown Academy,Sylvia Garcia,Grade(s) 6-12,H,Marion,47,47%,3,26%,>95%,93%,2,1,0,95%,No,1,Decrease,1,25,25%,Decrease,27%,80%,,,,,,,,,,,,,,*,No Change,,85%,13%,Decrease,2%,77%,31%,Decrease,7%,83%
1931,Gladstone SD 115,4719,Gladstone Center for Children and Families,Jere Applebee,Grade(s) K-K,E,Clackamas,134,*,2,19%,49%,89%,7,0,0,19%,No,26,Increase,1,25,85%,Increase,2%,80%,*,*,No Change,,,*,No Change,,,*,No Change,,,,,,,,,,,,,,
1931,Gladstone SD 115,138,Gladstone High School,Kevin Taylor,Grade(s) 9-12,H,Clackamas,637,9%,10,11%,38%,99%,29,4,3,13%,Yes,22,Decrease,6,25,79%,Decrease,1%,80%,,,,,,,,,,,,,,>95%,Increase,>4%,85%,86%,Increase,6%,77%,86%,Decrease,6%,83%
1931,Gladstone SD 115,136,John Wetten Elementary School,Wendy Wilson,Grade(s) 1-5,E,Clackamas,765,8%,10,12%,45%,94%,40,5,1,13%,No,25.5,Increase,1,25,83%,Decrease,5%,80%,Average,59%,Decrease,1%,51%,48%,Increase,5%,44%,56%,Decrease,8%,65%,,,,,,,,,,,,
1931,Gladstone SD 115,137,Walter L Kraxberger Middle School,Len Reed,Grade(s) 6-8,M,Clackamas,463,11%,9,14%,45%,95%,25,4,1,17%,Yes,26,Decrease,1,25,74%,Decrease,2%,80%,Low,43%,Decrease,3%,56%,23%,Increase,1%,41%,35%,Decrease,4%,61%,,,,,,,,,,,,
2000,Glendale SD 77,307,Glendale Community Charter School,Ryan Savage,Grade(s) 9-12,H,Douglas,92,*,3,16%,>95%,89%,8,4,1,36%,Yes,13,Increase,1,25,66%,Increase,13%,80%,,,,,,,,,,,,,,>95%,Increase,>28%,85%,52%,Decrease,15%,77%,68%,Decrease,3%,83%
2000,Glendale SD 77,306,Glendale Elementary School,Sean O Brady,Grade(s) K-8,E,Douglas,176,*,4,19%,>95%,91%,10,10,0,33%,Yes,19,Decrease,2,25,84%,Increase,8%,80%,Average,38%,Increase,5%,54%,15%,Decrease,1%,42%,51%,Increase,14%,64%,,,,,,,,,,,,
1992,Glide SD 12,282,Glide Elementary School,Jerry Halter,Grade(s) K-6,E,Douglas,415,*,4,12%,59%,96%,21,17,0,14%,No,24,Increase,1,25,80%,Increase,1%,80%,High,53%,Increase,2%,52%,49%,Increase,2%,43%,75%,Increase,4%,65%,,,,,,,,,,,,
1992,Glide SD 12,285,Glide High School,Kristina Haug Ph.D.,Grade(s) 9-12,H,Douglas,207,*,3,14%,51%,93%,13,3,1,16%,No,21.5,Increase,3,25,77%,Decrease,3%,80%,,,,,,,,,,,,,,92%,Increase,3%,85%,83%,Increase,2%,77%,85%,Decrease,11%,83%
1992,Glide SD 12,284,Glide Middle School,Kristina Haug Ph.D.,Grade(s) 7-8,M,Douglas,105,*,2,11%,58%,93%,7,3,0,22%,No,18,Decrease,6,25,79%,Decrease,1%,80%,Average,59%,Decrease,2%,57%,33%,Decrease,10%,42%,71%,Increase,6%,61%,,,,,,,,,,,,
2054,Grants Pass SD 7,435,Allen Dale Elementary School,Jake Musser,Grade(s) K-5,E,Josephine,480,*,5,10%,>95%,93%,22,15,0,7%,No,26,Increase,1,25,89%,Increase,5%,80%,Average,59%,Increase,15%,51%,45%,Increase,6%,44%,79%,Increase,4%,65%,,,,,,,,,,,,
2054,Grants Pass SD 7,442,Grants Pass High School,Ryan Thompson,Grade(s) 9-12,H,Josephine,1721,<5%,14,11%,>95%,93%,87,31,4,8%,No,22,Decrease,1,25,74%,Increase,4%,80%,,,,,,,,,,,,,,79%,No Change,,85%,72%,No Change,,77%,82%,Increase,3%,83%
2054,Grants Pass SD 7,436,Highland Elementary School,Nevin Van Manen,Grade(s) K-5,E,Josephine,469,*,5,12%,>95%,93%,24,10,0,9%,No,27,Increase,1,25,92%,Increase,4%,80%,Average,59%,Decrease,5%,51%,47%,Decrease,4%,44%,78%,Decrease,8%,65%,,,,,,,,,,,,
2054,Grants Pass SD 7,437,Lincoln Elementary School,Maria Drenen,Grade(s) K-5,E,Josephine,461,11%,9,12%,>95%,91%,24,11,0,6%,No,26,No Change,,25,90%,Increase,3%,80%,High,53%,Increase,2%,51%,47%,Decrease,2%,44%,81%,Decrease,3%,65%,,,,,,,,,,,,
2054,Grants Pass SD 7,438,North Middle School,Tommy Blanchard,Grade(s) 6-8,M,Josephine,761,6%,8,14%,>95%,94%,35,19,2,11%,Yes,24,Decrease,1,25,81%,Increase,5%,80%,Average,63%,Increase,4%,56%,41%,Increase,2%,41%,72%,No Change,,61%,,,,,,,,,,,,
